trip,site,images,images_eng,metashape_files,products,products_old,dem_res
2014_04,cooks_path,False,True,exists,False,True,
2014_04,corner_beach,False,True,exists,False,True,
2014_04,easter_point,False,True,exists,False,True,
2014_04,gnarly_tree,False,True,exists,False,True,
2014_04,horseshoe,False,True,ERROR,False,True,
2014_04,lagoon_1,False,True,exists,False,True,
2014_04,lagoon_2,False,True,exists,False,True,
2014_04,lizard_head,False,True,exists,False,True,
2014_04,no_mans_land,False,True,exists,False,True,
2014_04,north_of_paradise,False,True,exists,False,True,
2014_04,north_reef_1,False,True,exists,False,True,
2014_04,north_reef_2,False,True,exists,False,True,
2014_04,north_reef_3,False,True,exists,False,True,
2014_04,osprey,False,True,exists,False,True,
2014_04,resort,False,True,exists,False,True,
2014_04,south_island,False,True,no file,False,True,
2014_04,southeast,False,True,exists,False,True,
2014_04,trimodal,False,False,exists,False,False,
2014_04,turtle_beach,False,True,exists,False,True,
2014_04,vickis,False,True,exists,False,True,
2014_04,washing_machine,False,True,exists,False,True,
2014_10,cooks_path,False,True,ERROR,True,True,
2014_10,corner_beach,False,True,exists,False,True,
2014_10,easter_point,False,True,exists,False,True,
2014_10,gnarly_tree,False,True,ERROR,False,True,
2014_10,horseshoe,False,True,ERROR,False,True,
2014_10,lagoon_1,False,True,ERROR,False,True,
2014_10,lagoon_2,False,True,exists,False,True,
2014_10,lizard_head,False,True,ERROR,False,True,
2014_10,no_mans_land,False,True,ERROR,False,True,
2014_10,north_of_paradise,False,True,ERROR,False,True,
2014_10,north_reef_1,False,True,exists,False,True,
2014_10,north_reef_2,False,True,exists,False,True,
2014_10,north_reef_3,False,True,exists,False,True,
2014_10,osprey,False,True,exists,False,True,
2014_10,resort,False,True,exists,False,True,
2014_10,south_island,False,True,no file,False,True,
2014_10,southeast,False,True,exists,False,True,
2014_10,trimodal,False,True,exists,False,True,
2014_10,turtle_beach,False,True,exists,False,True,
2014_10,vickis,False,True,exists,False,True,
2014_10,washing_machine,False,True,exists,False,True,
2015_05,cooks_path,False,True,exists,False,True,
2015_05,corner_beach,False,True,exists,False,True,
2015_05,easter_point,False,True,exists,False,True,
2015_05,gnarly_tree,False,True,exists,False,True,
2015_05,horseshoe,False,True,exists,False,True,
2015_05,lagoon_1,False,True,exists,False,True,
2015_05,lagoon_2,False,True,exists,False,True,
2015_05,lizard_head,False,True,exists,False,True,
2015_05,no_mans_land,False,True,exists,False,True,
2015_05,north_of_paradise,False,True,exists,False,True,
2015_05,north_reef_1,False,True,exists,False,True,
2015_05,north_reef_2,False,False,no file,False,True,
2015_05,north_reef_3,False,True,exists,False,True,
2015_05,osprey,False,True,exists,False,True,
2015_05,resort,False,True,exists,False,True,
2015_05,south_island,False,True,no file,False,True,
2015_05,southeast,False,True,exists,False,True,
2015_05,trimodal,False,False,no file,False,False,
2015_05,turtle_beach,False,True,exists,False,True,
2015_05,vickis,False,True,exists,False,True,
2015_05,washing_machine,False,True,exists,False,True,
2015_11,cooks_path,False,True,exists,False,True,
2015_11,corner_beach,False,True,exists,False,True,
2015_11,easter_point,False,True,exists,False,True,
2015_11,gnarly_tree,False,True,exists,False,True,
2015_11,horseshoe,False,True,exists,False,True,
2015_11,lagoon_1,False,True,ERROR,False,True,
2015_11,lagoon_2,False,True,exists,False,True,
2015_11,lizard_head,False,True,exists,False,True,
2015_11,no_mans_land,False,True,exists,False,True,
2015_11,north_of_paradise,False,True,ERROR,False,True,
2015_11,north_reef_1,False,True,exists,False,True,
2015_11,north_reef_2,False,True,exists,False,True,
2015_11,north_reef_3,False,True,exists,False,True,
2015_11,osprey,False,True,exists,False,True,
2015_11,resort,False,True,exists,False,True,
2015_11,south_island,False,True,no file,False,True,
2015_11,southeast,False,True,exists,False,True,
2015_11,trimodal,False,True,exists,False,True,
2015_11,turtle_beach,False,True,exists,False,True,
2015_11,vickis,False,True,exists,False,True,
2015_11,washing_machine,False,True,exists,False,True,
2016_11,cooks_path,False,True,exists,False,True,
2016_11,corner_beach,False,True,exists,True,True,
2016_11,easter_point,False,True,exists,False,True,
2016_11,gnarly_tree,False,True,exists,False,True,
2016_11,horseshoe,False,True,exists,False,True,
2016_11,lagoon_1,False,True,exists,False,True,
2016_11,lagoon_2,False,True,exists,False,True,
2016_11,lizard_head,False,True,exists,False,True,
2016_11,no_mans_land,False,True,exists,False,True,
2016_11,north_of_paradise,False,True,exists,True,True,
2016_11,north_reef_1,False,True,exists,False,True,
2016_11,north_reef_2,False,True,exists,False,True,
2016_11,north_reef_3,False,True,exists,False,True,
2016_11,osprey,False,True,exists,False,True,
2016_11,resort,False,True,exists,False,True,
2016_11,south_island,False,True,exists,False,True,
2016_11,southeast,False,True,exists,False,True,
2016_11,trimodal,False,True,exists,False,True,
2016_11,turtle_beach,False,True,exists,False,True,
2016_11,vickis,False,True,exists,False,True,
2016_11,washing_machine,False,True,exists,False,True,
2017_11,cooks_path,False,True,exists,False,True,
2017_11,corner_beach,False,True,exists,False,True,
2017_11,easter_point,False,True,exists,False,True,
2017_11,gnarly_tree,False,True,exists,False,True,
2017_11,horseshoe,False,True,exists,False,True,
2017_11,lagoon_1,False,True,exists,False,True,
2017_11,lagoon_2,False,True,exists,False,True,
2017_11,lizard_head,False,True,exists,False,True,
2017_11,no_mans_land,False,True,exists,False,True,
2017_11,north_of_paradise,False,True,ERROR,False,True,
2017_11,north_reef_1,False,True,ERROR,False,True,
2017_11,north_reef_2,False,True,ERROR,False,True,
2017_11,north_reef_3,False,True,ERROR,False,True,
2017_11,osprey,False,True,exists,False,True,
2017_11,resort,False,True,exists,False,True,
2017_11,south_island,False,True,exists,False,True,
2017_11,southeast,False,True,exists,False,True,
2017_11,trimodal,False,True,ERROR,False,True,
2017_11,turtle_beach,False,True,ERROR,False,True,
2017_11,vickis,False,True,exists,False,True,
2017_11,washing_machine,False,True,exists,False,True,
2018_11,cooks_path,False,True,exists,False,True,
2018_11,corner_beach,False,True,exists,False,True,
2018_11,easter_point,False,True,no file,False,True,
2018_11,gnarly_tree,False,True,exists,False,True,
2018_11,horseshoe,False,True,exists,False,True,
2018_11,lagoon_1,False,True,exists,False,True,
2018_11,lagoon_2,False,True,exists,False,True,
2018_11,lizard_head,False,True,ERROR,False,True,
2018_11,no_mans_land,False,True,no file,False,True,
2018_11,north_of_paradise,False,True,exists,False,True,
2018_11,north_reef_1,False,True,exists,False,True,
2018_11,north_reef_2,False,True,ERROR,False,True,
2018_11,north_reef_3,False,True,ERROR,False,True,
2018_11,osprey,False,False,ERROR,False,True,
2018_11,resort,False,True,ERROR,False,True,
2018_11,south_island,False,True,ERROR,False,True,
2018_11,southeast,False,True,ERROR,False,True,
2018_11,trimodal,False,True,ERROR,False,True,
2018_11,turtle_beach,False,True,ERROR,False,True,
2018_11,vickis,False,True,no file,False,True,
2018_11,washing_machine,False,True,no file,False,True,
2019_11,cooks_path,False,True,exists,False,True,
2019_11,corner_beach,False,True,exists,False,True,
2019_11,easter_point,False,True,exists,False,True,
2019_11,gnarly_tree,False,True,exists,False,True,
2019_11,horseshoe,False,True,exists,False,True,
2019_11,lagoon_1,False,True,exists,False,True,
2019_11,lagoon_2,False,True,exists,False,True,
2019_11,lizard_head,False,True,no file,False,True,
2019_11,no_mans_land,False,True,no file,False,False,
2019_11,north_of_paradise,False,True,no file,False,True,
2019_11,north_reef_1,False,True,no file,False,True,
2019_11,north_reef_2,False,True,no file,False,True,
2019_11,north_reef_3,False,True,no file,False,True,
2019_11,osprey,False,True,no file,False,True,
2019_11,resort,False,True,no file,False,True,
2019_11,south_island,False,True,no file,False,True,
2019_11,southeast,False,True,no file,False,True,
2019_11,trimodal,False,True,no file,False,True,
2019_11,turtle_beach,False,True,no file,False,True,
2019_11,vickis,False,True,no file,False,True,
2019_11,washing_machine,False,True,no file,False,True,
2021_03,cooks_path,False,True,exists,False,True,
2021_03,corner_beach,False,True,exists,False,True,
2021_03,easter_point,False,True,no file,False,True,
2021_03,gnarly_tree,False,True,no file,False,True,
2021_03,horseshoe,False,True,exists,False,True,
2021_03,lagoon_1,False,True,no file,False,False,
2021_03,lagoon_2,False,True,no file,False,False,
2021_03,lizard_head,False,True,no file,False,False,
2021_03,no_mans_land,False,True,no file,False,False,
2021_03,north_of_paradise,False,True,no file,False,False,
2021_03,north_reef_1,False,True,no file,False,False,
2021_03,north_reef_2,False,True,no file,False,False,
2021_03,north_reef_3,False,True,no file,False,True,
2021_03,osprey,False,True,no file,False,True,
2021_03,resort,False,True,no file,False,True,
2021_03,south_island,False,True,no file,False,True,
2021_03,southeast,False,True,no file,False,True,
2021_03,trimodal,False,True,no file,False,True,
2021_03,turtle_beach,False,True,no file,False,True,
2021_03,vickis,False,True,no file,False,False,
2021_03,washing_machine,False,True,no file,False,False,
2022_04,cooks_path,False,False,exists,False,False,
2022_04,corner_beach,False,False,exists,False,False,
2022_04,easter_point,False,False,no file,False,False,
2022_04,gnarly_tree,False,False,no file,False,False,
2022_04,horseshoe,False,False,no file,False,False,
2022_04,lagoon_1,False,False,no file,False,False,
2022_04,lagoon_2,False,True,no file,False,False,
2022_04,lizard_head,False,False,no file,False,False,
2022_04,no_mans_land,False,False,no file,False,False,
2022_04,north_of_paradise,False,False,no file,False,False,
2022_04,north_reef_1,False,False,no file,False,False,
2022_04,north_reef_2,False,False,no file,False,False,
2022_04,north_reef_3,False,False,no file,False,False,
2022_04,osprey,False,False,no file,False,False,
2022_04,resort,False,False,no file,False,False,
2022_04,south_island,False,False,no file,False,False,
2022_04,southeast,False,False,no file,False,False,
2022_04,trimodal,False,False,no file,False,False,
2022_04,turtle_beach,False,False,no file,False,False,
2022_04,vickis,False,False,no file,False,False,
2022_04,washing_machine,False,False,no file,False,False,
2022_11,cooks_path,False,True,exists,False,True,
2022_11,corner_beach,False,True,exists,False,True,
2022_11,easter_point,False,True,no file,False,True,
2022_11,gnarly_tree,False,True,no file,False,True,
2022_11,horseshoe,False,True,exists,False,True,
2022_11,lagoon_1,False,True,no file,False,True,
2022_11,lagoon_2,False,False,no file,True,True,
2022_11,lizard_head,False,True,exists,False,True,
2022_11,no_mans_land,False,True,no file,False,False,
2022_11,north_of_paradise,False,True,no file,False,True,
2022_11,north_reef_1,False,True,no file,False,True,
2022_11,north_reef_2,False,True,no file,False,True,
2022_11,north_reef_3,False,True,no file,False,True,
2022_11,osprey,False,True,no file,False,True,
2022_11,resort,False,True,no file,False,True,
2022_11,south_island,False,True,exists,False,True,
2022_11,southeast,False,True,no file,False,True,
2022_11,trimodal,False,True,no file,False,True,
2022_11,turtle_beach,False,True,no file,False,True,
2022_11,vickis,False,True,no file,False,True,
2022_11,washing_machine,False,True,no file,False,False,
2023_11,cooks_path,False,False,exists,False,False,
2023_11,corner_beach,False,False,exists,False,False,
2023_11,easter_point,False,False,no file,False,False,
2023_11,gnarly_tree,False,False,exists,False,False,
2023_11,horseshoe,False,False,exists,False,False,
2023_11,lagoon_1,False,False,exists,False,False,
2023_11,lagoon_2,False,False,exists,False,False,
2023_11,lizard_head,False,False,exists,False,False,
2023_11,no_mans_land,False,False,exists,False,False,
2023_11,north_of_paradise,False,False,exists,False,False,
2023_11,north_reef_1,False,False,exists,False,False,
2023_11,north_reef_2,False,False,exists,False,False,
2023_11,north_reef_3,False,False,exists,False,False,
2023_11,osprey,False,False,exists,False,False,
2023_11,resort,False,False,exists,False,False,
2023_11,south_island,False,False,exists,False,False,
2023_11,southeast,False,False,exists,False,False,
2023_11,trimodal,False,False,exists,False,False,
2023_11,turtle_beach,False,False,exists,False,False,
2023_11,vickis,False,False,exists,False,False,
2023_11,washing_machine,False,False,exists,False,False,
